text,updateDt
Why that kinda look like ...,2024-05-28
"Outfit trash, the pants are corny, the collar on the shirt looks bogus, Kanye clothes arenâ€™t it, shit look at Kanye he canâ€™t dress",2024-05-28
I wear my vultures pants everyday and pray they restock,2024-05-28
Pants are ğŸ”¥,2024-05-27
1:22:06  Paul Wall is that nigga ğŸ¤ğŸ¾ğŸ’¯,2024-05-28
1:21:57  ğŸ˜‚ğŸ˜‚ğŸ˜‚ dat part,2024-05-28
Watch ur mouf pucci when speaking on Meek,2024-05-27
26:02  PAC was a revolutionary niggas so dayumm dumb bro,2024-05-27
ğŸ˜‚ğŸ˜‚ğŸ˜‚ 20:48,2024-05-27
Dayumm bro i donâ€™t get any notifications ğŸ”” no more replay gang,2024-05-27
OMG that was not the right key my ears hurt.,2024-05-28
How to over inflate a childâ€™s ego. I think they should stick to putting her in the school talent show like every other kid,2024-05-28
Kim trying to keep up with blu ivy,2024-05-28
The ruch keeps getting Richer then they fall,2024-05-28
im so proud of her keep rising to the top and IGNORE THE HATERS!!!!,2024-05-28
Awful performance and was not captivating and no standing ovation,2024-05-28
She made a good lion cub,2024-05-28
Itâ€™s not her fault in being picked for the part I honestly think sheâ€™s a talented kid. Great job North West,2024-05-28
She did not deserve a standing ovation,2024-05-27
"I've seen better talent, there ars so many talents kids that are not recognized because of the children parent the are in the limelight which is not fair to the underdog.ğŸ˜®",2024-05-27
Wow she  donâ€™t need grown up help her to act,2024-05-27
"BeyoncÃ© and Blue canâ€™t do anything without Kimye coping them!!  Now everybody knows Bey and Blue are doing Lion King Mufasa, EVERYBODY KNOWS!!  They just had to copy!! #BeehiveğŸ",2024-05-27
"Isnâ€™t that Nepotism ? And hate to break it to everyone all this crap about equality and equity well itâ€™s crap . Itâ€™s all about who you know , !!!!!!! Very few by Merritt! Fewer by luck !",2024-05-27
She is a child and she did great because she put forth the effort..kids have to start somewhere..some naturally can sing and some become great as time goes now.stop raining on her parade. She has a dream..we should nourish and encourage it...,2024-05-27
She brought eyes to the show,2024-05-27
She did fine,2024-05-27
Go NorthğŸ˜Š,2024-05-27
They got kids younger than her that sing better on America's got talent,2024-05-27
"People commenting about ""another kid could have done better"", and that she didn't do good. Y'all do realize that shes 10 right! SHE IS FREAKING 10. GEEZ",2024-05-27
"News flash! Classism, it exists.",2024-05-27
Who's couch did kim lay on to get the part. Certainly she had no talent.,2024-05-27
"JoziWan, You're awesome! Let's be friends and play together!",2024-05-27
"She did not get a Standing Ovation, the entire cast got the ovation for the performance, and as someone who was there - she really should not have been in that show, we watched her walk across the stage with a lifeless feel to such a joyous part of the movie, where the young lion learns of his destiny.  Or maybe it was fitting, as she will be the next Kardashian to hit the spot light?  But in the end, her elementary school level performance took away from a child who worked hard for their big break in this show, simply because her family allegedly paid to have her in the show.",2024-05-27
She honestly didn't deserve it. Many children who were talented were passed up.,2024-05-27
Horrible talentless performance,2024-05-28
Zero talent,2024-05-28
I saw video of her performance and she was awful. I guess they thought her n her parents celebrity would bring in more ticket sales. But if i was in the audience id be mad i paid to see that ğŸ’©. Im so tired of people with no talent getting paid big bucks to ruin something that could've been great. I dont blame North though. Shes a child. I blame all the adults around her!,2024-05-28
ğŸ˜•,2024-05-28
"Poor  little girl she is sweet and adorable,but it was bad,and whats up with the duck costume??",2024-05-28
She is cute but her family is weird!,2024-05-28
Do you all say that about the kids in your own family?  Geez,2024-05-28
Beautiful Girl....,2024-05-28
To life?,2024-05-28
That would explain why we saw Kanye at Disneyland .,2024-05-28
"OMG , North was terrible.  Money can buy you anything . There are more talented kids out there  .",2024-05-28
She was terrible!,2024-05-27
"WTF Wasn't Simba a male lion? ğŸ™„
Im sure there are plenty more talented young boys who could have done this better. And what's up with those Ye slippers?!?ğŸ‘",2024-05-27
Where is Blue Ivy???,2024-05-27
Cringe that Kim did that,2024-05-27
Where is Kim??? Jealousy is evil.ğŸ˜Š,2024-05-27
I hope ye stays far away from this devilishly demonic company,2024-05-28
We love you to Heyâ¤â¤ he hat the Power NOWğŸ‘ğŸ‘ğŸ‘YE CONTINUE WINNING ğŸ‘ğŸ‘ğŸ‘ğŸºğŸ¹,2024-05-27
"I PRAY AND HOPE THAT YE WILL LISTEN TO THE HOLY SPIRIT AND COME BACK TO OUR HEAVENLY FATHER BECAUSE ONLY IN HIM WE CAN DO ALL THINGS.   HE MUST READ THE STORY OF SAMSON, OUR HEAVENLY FATHER PROMISES TO WITH US EVEN THOUGH WE GO THROUGH ğŸ”¥.   HE MUST MAKE THE BIBLE HIS FRIEND BECAUSE IS OUR HEAVENLY FATHER 'S BREATH WORD.",2024-05-27
Balenciaga is bad. Promte pedophilia.,2024-05-27
can you send me the drums please,2024-05-27
"lil durk so ass, idek who listens to him, this version is so much better",2024-05-27
wsp,2024-05-27
"ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ 
best one you made probably so far ?",2024-05-27
KANYE ğŸ,2024-05-27
"""There is pleasure in the pathless woods, there is rapture in the lonely shore, there is society where none intrudes, by the deep sea, and music in its roar; I love not Man the less, but Nature more.""

- Lord Byron",2024-05-27
ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥,2024-05-28
"l've seen hierarchy destroyed
And l've seen hierarchy created
One method compares to friendship
l'm fighting to the last man standing
lt's never cordial to do the requesting
l might forget you forgot 
Trash can't behest anything
l'm not buying what you're selling
Who still mines librarians
l am not the one to f--k with
With my attitude 
l'll have to dodge who the duck's with",2024-05-27
Bro wtf?? ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥,2024-05-27
Masterpiece after masterpiece ğŸ‘ğŸ˜,2024-05-27
NEW KANYE TYPE BEAT WOOOHOOO,2024-05-27
No North or any child slander in my comment section! Go slander yuh Mumma ğŸ˜…â¤â¤â¤,2024-05-27
She is just a baby not a teenager.that is kimmy cakes and her mother wanting to make more money.point blank she needs to be with her dad,2024-05-28
I thought North did a good job. I thought it was adorable.,2024-05-28
"North is epic. She reminds me of my youngest daughter (10). Creative, outspoken and totally herself. North didnâ€™t ask to have famous parents. If north is doing this, she wants too, she doesnâ€™t do anything she donâ€™t want too. The mum of that other girl, should comfort her daughter instead of ranting. She seems 1 of those mums from toddlers and tiaras tlc. I wish north and the other girl much succes and the other girl will find her perfect role.",2024-05-27
Thatâ€™s Kim all over North is a rapper not a actor,2024-05-27
"North West did well, she is creative, artistic and confidence. She is talented. She only needs a voice coach to make her better.",2024-05-27
Kim new better don  her like that let her be a child,2024-05-27
Is my music good??,2024-05-28
This is great,2024-05-28
who made the art?,2024-05-28
You never disappoint,2024-05-27
Haven't heard this sample since Jay Z,2024-05-27
Sample ğŸ”¥ â€¢ ğŸŒ™,2024-05-27
send it too me wit drums I'll kill it,2024-05-27
fire ğŸ”¥ğŸ”¥,2024-05-27
â˜„ï¸ğŸ”¥â˜„ï¸ğŸ”¥â˜„ï¸ğŸ”¥â˜„ï¸ğŸ”¥â˜„ï¸ğŸ”¥,2024-05-27
ğŸ¤¦ğŸ¾â€â™‚ï¸ğŸ˜¤ğŸ¤ŒğŸ¾ In a league of its own.ğŸ•ºğŸ¾ğŸ¸ğŸŒ ğŸŒŒğŸ”¥ğŸ”¥ğŸ”¥,2024-05-27
Major fire here wow ğŸ˜³,2024-05-27
Was this done with TresGenio?,2024-05-27
"True Love enters the top 20 ye tracks easily, such a memorable beat and an amazing feature.",2024-05-27
"best kanye leak oat,best leak oat,best song oat",2024-05-27
BUY THIS BEAT: https://bsta.rs/1aLXF,2024-05-27
Woah this goes crazy hard,2024-05-27
Fire,2024-05-27
âœ¨âœ¨,2024-05-27
damnnnn,2024-05-27
"Gangster rap is bad. Ok, got it. 

Who is this dude?No really. I have no idea.",2024-05-28
Jesus is king,2024-05-28
"I see why cuz always be getting strays thrown his way. He might be a cool dude.. yeah yeah.. this and that  but he be minding everyone else business . Like Bro just do your gospel rap and stop speaking on commercial artist, street /trap artist, etc.  but he wanna make it seem like he always getting slander unprovoked 

Typical self righteous fake Christian ish lmao",2024-05-28
"I got Love for Dee 1, his stance, and his willingness to make a change. But everyoneâ€™s approach is different. Everyoneâ€™s own beliefs within beliefs, is deferent. Elder rappers came up in a completely different era. We are all, not Christians. We are here to Create, and Live Life. Letâ€™s create Art! ğŸ–¼ï¸ People wanna drink, smoke, have sex and party. Yes there is an order to doing these things, but, when Iâ€™m on tracks, Iâ€™m talking that highly intelligent smack. Thereâ€™s a lot going on, and it can be complicated, building relationships. Everyone is entitled to their opinions, but, letâ€™s just build. ğŸ—ï¸",2024-05-28
Math loves to defend fck sh!t,2024-05-28
"Kanye lost me saying free Larry Hoover on TV with Trump! It wasn't the meeting it was the statement! Why not get Asata Shakur back to the States? Why not free the Black Panthers? He said free Larry Hoover that's when I was done! Feel sorry for him about his mom's, and what Kim did and is doing to him!

Edited/Added: Until we pull out the Apocrypha, Lost Books and Aquarian Gospel of Jesus and not just Enoch, I don't want to hear about the Bible from anybody!",2024-05-28
Clownye ğŸ¤¡ West â¬…ï¸ ğŸ˜‚ğŸ¤£ğŸ˜­,2024-05-28
"I think Math is just ""podding"", or I hope so",2024-05-28
"this whole interview he did it for views alll i got from this is wen dee 1 said unscribe math whole attitude change my question is , is math from the same cloth as ADAM 22 for the views ?ğŸ¤”",2024-05-28
Christians are the worse,2024-05-28
Going at the pieces on the board and not the player of the game is trash.,2024-05-28
All Facts ğŸ‘¨ğŸ¾â€ğŸ«ğŸ’¯,2024-05-28
Hes telling all facts! The only person in our community that we ride for no matter what is Kanye. Which is why sometimes I donâ€™t understand some of his outburst cause I feel like in hip hop we give Kanye the most grace. But if you really want to be honest Kanye does alot of clown shit that we make excuses for. ğŸ¤·ğŸ½â€â™‚ï¸ I like his art but thatâ€™s it I canâ€™t follow his rhetoric,2024-05-28
Kanye West is a Capitalist he uses all the tools to get to the Bag! Get urs my brothers stop hatin,2024-05-28
"Dee-1 is usually on point but I think heâ€™s off base here.  Jesus said the Kingdom of God lives within us.  That means we are living expressions of God.  So, whatâ€™s the use of calling someone a clown for claiming who they are and not being humble about their success?  Kanye might be a little off mentally, but heâ€™s still an example of what is possible when we are tapped into the powers we share with our creator.",2024-05-28
"Dee represents someone who doesnâ€™t play with duality. Itâ€™s natural in todayâ€™s society to try to serve 2 Gods; spiritual & financial for example, but you will always have to make a choice, of which is greater to YOU.. Dee seem like he not gon waiver on fake sh!t no matter who saying/doing it. We can get somewhere with tht type of commitment",2024-05-28
"I could hear Bigga right now asking Dee-1 in this interview :

â€œYouâ€™ve been speaking about Christianity how are closer are you with God ?â€  - Bigga",2024-05-27
The dumbest thing u can see is black folks fighting for Christianity smfh,2024-05-27
I root for kanye but he all over the place... #HowSway #YouAintGotTheAnswers,2024-05-27
Dee 1 just go to gospel rap daamn,2024-05-27
âœï¸SAINT COLORED COAT on YouTubeğŸ˜‡I Christian rapğŸ”¥ğŸ”¥ğŸ¶I'M UNOğŸš«ğŸ“Jesus is ğŸ‘‘ ğŸ’™,2024-05-27
Perfect question to end the clip Math ğŸ«¡,2024-05-27
I got the hardest freestyle in jersey play Moneyboy yb top 5 outta jersey all platforms me Moneyboy YB,2024-05-27
Curse words donâ€™t dictate if a person believes in god or not smh. Gotta watch these false prophets,2024-05-27
"These titles @ statements be so clout chasey, weak Christian minds will never understand. Call a man a clown when you donâ€™t agree is wild",2024-05-27
"This is wild right after the Ross video, actions have consequences nobody is untouchable.",2024-05-27
"Boa u a rapper , rap your issues",2024-05-27
Kanye understands that Christianity is just Sun worship. Christ consciousness is within all of us but we are stuck in our ego Most of the time.,2024-05-27
ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ this video isnâ€™t going to age well at all. ğŸ¤¡ boy. YE24!!! He ainâ€™t like us .,2024-05-27
"""I have said, Ye are gods; and all of you are children of the most High"" Psalm 82:6",2024-05-27
ğŸ”¥ interview keep standing on that truth Dee 1,2024-05-27
ğŸ‘ğŸ‘ŒğŸ‘,2024-05-27
"How's the Church gonna be mad when they put Kanye  (allegedly, a man on meds with mental health issues) out front as their poster boy?    That sounds really exploitative to me.   It reminds me the documentary, ""Marjoe"".
-Marjoe Gorter 1972ï¼šdocumentary  https://www.youtube.com/watch?v=MFaMfRSqfBU&t=1814s",2024-05-27
Sometimes we let Artists slide with being crappy humans just because we love their art,2024-05-27
The disrespect!  Okay you got my click!,2024-05-27
"Drake tried to sign Dario Gold and chad Billyon after hearing there songs ,jupiter, strip club, not like us part 2,rock ah bye baby, OMG, are you dumb just to list a few songs",2024-05-27
"YE!!
DONT GO INTO THE ADULT INDUSTRY 
THAT IS POISON THATS ALREADY EFFECTING YOUR FAMILY",2024-05-27
His clothes do not look good,2024-05-27
When manâ€™s was pro Jesus none of yâ€™all was on some pro ye stuff.  A lot of yall need to grfoh.,2024-05-27
D1 ; not feeling the brother. I feel like he has a slave mentality,2024-05-27
I never thought of Kanye as a man of GodğŸ’¯ he just likes attention,2024-05-27
Glass house ğŸ¥·,2024-05-27
Everyone has a real opinion at the end of the day. A lot of brothers sell out west went south mentally Hypocrites go down under ğŸ¤” christianity small wonder,2024-05-27
Dee 1 needs to grow up (spiritually),2024-05-27
Attention has alwayd been the currency since biblical times. God did what he did to get your attention...lol,2024-05-27
"Christians be the most loving, hating people. Ye has the right to change his perspective. Christians are sheep, easily led and believe what theyâ€™re told. Knowledge > belief. Even the Bible says ye are Gods",2024-05-27
THANK YOU FOR YOUR WORK DEE1!,2024-05-27
"Lol, that's in the bible...""havent I told you ye are gods.""",2024-05-27
I swear Mecca be d ridin every guest,2024-05-27
