Track,Platform,Country,Genre,Peak Position,Peak Date
World Christmas,Spotify,Hungary,,71,"Dec 25, 2016"
World Christmas,Spotify,Belgium,,94,"Dec 25, 2016"
World Christmas,Spotify,Latvia,,111,"Dec 25, 2016"
World Christmas,Spotify,Switzerland,,117,"Dec 25, 2016"
World Christmas,Spotify,Poland,,120,"Dec 24, 2016"
World Christmas,Spotify,Czech Republic,,135,"Dec 24, 2016"
"Back To Sleep (Legends Remix) (feat. Tank, R. Kelly & Anthony Hamilton)",Spotify,Taiwan,"neo soul,new jack swing,quiet storm,r&b,soul,urban contemporary,dance pop,pop,pop rap,r&b,rap,deep pop r&b,pop rap,r&b,rap,urban contemporary",136,"May 21, 2016"
World Christmas,Spotify,Netherlands,,142,"Dec 26, 2016"
Juicy Booty,Spotify,New Zealand,"dance pop,pop,pop rap,r&b,rap,alternative r&b,dance pop,pop,pop rap,r&b,rap,urban contemporary",142,"Nov 2, 2017"
World Christmas,Spotify,Portugal,,143,"Dec 25, 2016"
Ignition - Remix,Spotify,Philippines,,145,"Apr 21, 2018"
Ignition - Remix,Spotify,Canada,,148,"Oct 1, 2017"
World Christmas,Spotify,United Kingdom,,159,"Dec 26, 2016"
World Christmas,Spotify,Ireland,,177,"Dec 26, 2016"
Ignition - Remix,Spotify,United States,,180,"Mar 29, 2018"
Bump n' Grind,Spotify,Australia,,189,"May 6, 2016"
Ignition (Remix),Spotify,Global,,198,"Aug 14, 2016"